PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU
123759242,Bronze,SOHO,6000.0,VM,2,0.0,2,40.17,0.0,40.17,20.085
126145737,Bronze,SOHO,6400.0,VM,3,0.0,3,40.17,0.0,40.17,13.39
123506355,Bronze,SOHO,6000.0,DI,2,3.0,5,40.17,0.0,40.17,20.09
112595585,Bronze,SOHO,4400.0,MT,1,2.0,3,40.17,0.0,40.17,40.17
115097935,Iron,SOHO,4000.0,AD,2,1.0,3,40.17,0.0,40.17,20.09
108684074,Gold,VSE,6600.0,RJ,2,11.0,13,40.17,0.0,40.17,20.09
112504678,Bronze,SOHO,4644.0,MT,4,0.0,4,40.33,0.0,40.33,10.08
833121152,Iron,SOHO,6100.0,VM,5,2.0,7,40.33,0.0,40.33,8.07
123654309,Iron,SOHO,6100.0,DI,3,0.0,3,40.33,0.0,40.33,13.44
123688980,Bronze,SOHO,6280.0,AD?,1,0.0,1,40.33,0.0,40.33,40.33
112624478,Bronze,SOHO,4550.0,MT,3,0.0,3,40.5,0.0,40.5,13.5
833063667,Bronze,SOHO,6000.0,VM,4,1.0,5,40.5,0.0,40.5,10.13
123756730,Iron,SOHO,6000.0,DI,2,0.0,2,40.5,0.0,40.5,20.25
115080505,Iron,SOHO,4230.0,AD,4,0.0,4,40.67,0.0,40.67,10.17
112593997,Bronze,SOHO,4550.0,MT,5,1.0,6,40.83,0.0,40.83,8.17
115028540,Bronze,SOHO,4300.0,AD,3,1.0,4,40.83,0.0,40.83,13.61
115050907,Iron,SOHO,4015.0,AD,3,8.0,11,40.83,0.0,40.83,13.61
115082883,Gold,VSE,4000.0,AD,7,25.0,32,40.83,0.0,40.83,5.83
112594661,Bronze,SOHO,4500.0,AD,2,0.0,2,40.83,0.0,40.83,20.42
